出版社	城市	类型	出版社编号（ISBN）	备注
今日中国出版社	北京市		5072	原中国建设出版社
中央文献出版社	北京市		5073	
中国城市出版社	北京市		5074	
华文出版社	北京市		5075	
中国ISBN中心	北京市		5076	
学苑出版社	北京市	统战系统出版社	5077	曾用出版社编号80060
中国国际广播出版社	北京市		5078	曾用出版社编号80035
华夏出版社	北京市		5080	曾用出版社编号80053
解放军出版社	北京市	军事出版社	5081	曾用出版社编号5065
金盾出版社	北京市		5082	曾用出版社编号80022
中国水利水电出版社	北京市		5084	曾用出版社编号80124
五洲传播出版社	北京市		5085	曾用出版社编号80113
中信出版社	北京市		5086	曾用出版社编号80073
中国社会出版社	北京市		5087	曾用出版社编号80088、80146
龙门书局	北京市	教育出版社	5088	科学出版社的副牌
				曾用出版社编号80111、80160
中国文联出版公司、中国文联出版社	北京市		5089	曾用出版社编号5059
当代世界出版社	北京市		5090	曾用出版社编号80115
人民军医出版社	北京市	医学出版社	5091	曾用出版社编号80020、80157、80194
中国市场出版社	北京市		5092	
中国法制出版社	北京市	法律出版社	5093	曾用出版社编号80083、80182、80226
蓝天出版社	北京市	军事出版社	5094	曾用出版社编号80081、80158
中国财政经济出版社	北京市	经济出版社	5095	曾用出版社编号5005
经济管理出版社	北京市	经济出版社	5096	曾用出版社编号80025、80118、80162、80207
社会科学文献出版社	北京市		5097	曾用出版社编号80050、80149、80190、80230
中共党史出版社	北京市	中国共产党理论出版社	5098	原名中共党史资料出版社
				曾用出版社编号80023、80136、80199
党建读物出版社	北京市		5099	曾用出版社编号80098
世界图书出版公司、世界图书出版社	北京市		5100	另在上海市、广州市、西安市、武汉市有分社
				曾用出版社编号5062
中国人口出版社	北京市		5101	曾用出版社编号80079、80202
中国检察出版社	北京市		5102	曾用出版社编号80078、80185
中国商务出版社	北京市		5103	
新世界出版社	广州市		5104	曾用出版社编号80005、80187、80228
中国档案出版社	北京市		5105	曾用出版社编号80086、80166
现代教育出版社	北京市		5106	曾用出版社编号80196
中国长安出版社	北京市		5107	曾用出版社编号80175
九州出版社	北京市		5108	曾用出版社编号80195
人民法院出版社	北京市	法律出版社	5109	曾用出版社编号80056、80161、80217
海豚出版社	北京市	少儿出版社／外语出版社	5110	（外文出版社的副牌，专门出版儿童读物）
				曾用出版社编号80051
中国环境科学出版社、中国环境出版社	北京市		5111	曾用出版社编号80010、80093、80135、80163、80209
光明日报出版社	北京市		5112	曾用出版社编号80014、80145、80206
中国华侨出版社	北京市		5113	曾用出版社编号80074、80120、80222
中国石化出版社／烃加工出版社	北京市		5114	曾用出版社编号80043、80164
人民日报出版社	北京市		5115	曾用出版社编号80002、80153、80208
中国农业科技出版社、中国农业科学技术出版社	北京市		5116	曾用出版社编号80026、80119、80167、80233
中央编译出版社	北京市		5117	曾用出版社编号80109、80211
法律出版社	北京市	法律出版社	5118	曾用出版社编号5036
中国时代经济出版社	北京市		5119	曾用出版社编号80169、80221
中国线装书局、线装书局	北京市		5120	曾用出版社编号80106
北京交通大学出版社	北京市	大学出版社	5121	曾用出版社编号81082
中国民族摄影艺术出版社	北京市		5122	
中国电力出版社	北京市		5123	曾用出版社编号5083、80125
北京航空航天大学出版社	北京市		5124	曾用出版社编号81012、81077、81124
国际文化出版公司	北京市		5125	曾用出版社编号80049、80105、80173
团结出版社	北京市	统战系统出版社（中国国民党革命委员会）	5126	曾用出版社编号80130、80214
中国妇女出版社	北京市		5127	曾用出版社编号80016、80131、80203
中国民航出版社	北京市		5128	曾用出版社编号80110
中国少年儿童出版社	北京市	少儿出版社	5148	曾用出版社编号5007
北京古籍出版社	北京市	古籍出版社	5300	
北京少年儿童出版社	北京市	少儿出版社	5301	
北京十月文艺出版社	北京市	文艺（文学）出版社	5302	
北京教育出版社	北京市	教育出版社	5303	
北京科学技术出版社	北京市	科技出版社	5304	
天津人民美术出版社	天津市	美术出版社	5305	
百花文艺出版社	天津市	文艺（文学）出版社	5306	
新蕾出版社	天津市	少儿出版社	5307	
天津科学技术出版社	天津市	科技出版社	5308	
天津教育出版社	天津市	教育出版社	5309	
河北美术出版社	石家庄市	美术出版社	5310	
内蒙古教育出版社	呼和浩特市	教育出版社	5311	
内蒙古少年儿童出版社	通辽市	少儿出版社	5312	
春风文艺出版社	沈阳市	文艺（文学）出版社	5313	
辽宁美术出版社	沈阳市	美术出版社	5314	
辽宁少年儿童出版社	沈阳市	少儿出版社	5315	
