出版社	城市	类型	出版社编号（ISBN）	备注
内蒙古文化出版社	海拉尔市	少数民族文字出版社（蒙古文）	80675	曾用出版社编号80506
太白文艺出版社	西安市	文艺（文学）出版社	80680	曾用出版社编号80605
四川辞书出版社	成都市	辞书出版社	80682	曾用出版社编号80543
文心出版社	郑州市	专业出版社（作文）	80683	曾用出版社编号80537
大连出版社	大连市		80684	曾用出版社编号80612
上海画报出版社	上海市	摄影出版社／美术出版社	80685	曾用出版社编号80530
浙江摄影出版社	杭州市	摄影出版社	80686	曾用出版社编号80536
白山出版社	沈阳市		80687	曾用出版社编号80566
天津社会科学院出版社	天津市		80688	曾用出版社编号80563
海潮摄影艺术出版社	福州市	美术出版社／摄影出版社	80691	曾用出版社编号80562
上海音乐学院出版社	上海市	音乐出版社／大学出版社	80692	
广陵书社	扬州市		80694	
云南美术出版社	昆明市	美术出版社	80695	曾用出版社编号80586
天津古籍出版社	天津市	古籍出版社	80696	曾用出版社编号80504
延边人民出版社	延吉市	各地人民出版社／少数民族文字出版社（朝鲜文）	80698	曾用出版社编号80508、80599、80648
百家出版社	上海市		80703	曾用出版社编号80576、80656
成都地图出版社	成都市	地图出版社	80704	曾用出版社编号80544
长江出版社			80708	
深圳报业集团出版社	深圳市		80709	
济南出版社	济南市		80710	曾用出版社编号80572、80629
西安出版社	西安市		80712	曾用出版社编号80594
甘肃文化出版社	兰州市		80714	曾用出版社编号80608
浙江古籍出版社	杭州市	古籍出版社	80715	曾用出版社编号80518
同心出版社	北京市	媒体出版社（北京日报报业集团）	80716	曾用出版社编号80593
哈尔滨地图出版社	哈尔滨市	地图出版社	80717	曾用出版社编号80529
南京出版社	南京市		80718	曾用出版社编号80560、80614
海峡文艺出版社	福州市	文艺（文学）出版社	80719	曾用出版社编号80534、80640
广东省地图出版社	广州市	地图出版社	80721	曾用出版社编号80522
辽宁民族出版社	沈阳市	少数民族文字出版社（朝鲜族、蒙古族、满族文字）	80722	曾用出版社编号80527、80644
远方出版社	呼和浩特市		80723	曾用出版社编号80595
京华出版社	北京市		80724	曾用出版社编号80600
新疆科学技术出版社	乌鲁木齐市	科技出版社	80727	曾用出版社编号80693
凤凰出版社			80729	
学林出版社	上海市		80730	曾用出版社编号80510、80616、80668
古吴轩出版社	苏州市	美术出版社	80733	曾用出版社编号80574
黄河水利出版社	郑州市	科技出版社	80734	曾用出版社编号80621
西泠印社出版社	杭州市	美术出版社	80735	曾用出版社编号80517
三秦出版社	西安市	古籍出版社	80736	曾用出版社编号80546、80628
山东友谊出版社	济南市		80737	曾用出版社编号80551、80642
天津杨柳青画社	天津市	美术出版社	80738	曾用出版社编号80503
中原农民出版社	郑州市		80739	曾用出版社编号80538、80641
上海文化出版社	上海市		80740	曾用出版社编号80511、80646
文汇出版社	上海市	媒体出版社（文汇新民联合报业集团）	80741	曾用出版社编号80531、80676
百花洲文艺出版社	南昌市	文艺（文学）出版社	80742	曾用出版社编号80579、80647
宁波出版社	宁波市		80743	
新疆美术摄影出版社	乌鲁木齐市	美术出版社／摄影出版社	80744	曾用出版社编号80547、80658
		少数民族文字出版社（维吾尔、哈萨克、		
		柯尔克孜、蒙古文）		
上海社会科学院出版社	上海市		80745	曾用出版社编号80515、80618、80681
广西美术出版社	南宁市	美术出版社	80746	曾用出版社编号80582、80625、80674
海天出版社	深圳市		80747	曾用出版社编号80542、80615、80654、80697
上海音乐出版社	上海市	音乐出版社	80751	曾用出版社编号80553、80667
巴蜀书社	成都市	古籍出版社	80752	曾用出版社编号80523、80659
哈尔滨出版社	哈尔滨市		80753	曾用出版社编号80557、80639、80699
花山文艺出版社	石家庄市	文艺（文学）出版社	80755	曾用出版社编号80505、80611、80673
新疆生产建设兵团出版社	五家渠市		80756	
吉林摄影出版社	长春市	摄影出版社	80757	曾用出版社编号80606
杭州出版社	杭州市		80758	曾用出版社编号80633
南方出版社	深圳市		80760	曾用出版社编号80660、80701
岳麓书社	长沙市	古籍出版社	80761	曾用出版社编号80520、80665
广西科学技术出版社	南宁市	科技出版社	80763	曾用出版社编号80565、80619、80666
河南文艺出版社	郑州市	文艺（文学）出版社	80765	曾用出版社编号80623
广东旅游出版社	广州市	旅游出版社	80766	曾用出版社编号80521、80653
山西经济出版社	太原市	经济出版社	80767	曾用出版社编号80577、80636
北京农业大学出版社	北京市	大学出版社	81002	
浙江美术学院出版社	杭州市		81019	
武汉测绘科技大学出版社	武汉市		81030	
山西高校联合出版社	太原市		81032	
中国纺织大学出版社	上海市		81038	曾用出版社编号80138
河南医科大学出版社	郑州市	大学出版社	81048	
第二军医大学出版社	上海市		81060	
警官教育出版社	北京市		81062	曾用出版社编号81027
武汉水利电力大学出版社	武汉市	大学出版社	81063	
中国农业大学出版社			81066	
杭州大学出版社	杭州市	大学出版社	81069	曾用出版社编号81035
中国矿业大学出版社	徐州市	大学出版社	81070	曾用出版社编号81021、81040
北京医科大学、中国协和医科大学联合出版社	北京市	大学出版社	81072	曾用出版社编号81034
湖南师范大学出版社	长沙市	大学出版社	81081	曾用出版社编号81031
中国美术学院出版社	杭州市		81083	
北京广播学院出版社	北京市	大学出版社	81085	曾用出版社编号81004
第四军医大学出版社			81086	
河南大学出版社	开封市	大学出版社	81091	曾用出版社编号81018、81041
合肥工业大学出版社	合肥市	大学出版社	81093	
中央音乐学院出版社	北京市		81096	
河北大学出版社	保定市	大学出版社	81097	曾用出版社编号81028
国防科技大学出版社	长沙市	大学出版社	81099	曾用出版社编号81024
南京师范大学出版社	南京市	大学出版社	81101	曾用出版社编号81047
东北大学出版社	沈阳市	大学出版社	81102	曾用出版社编号81006、81054
辽宁师范大学出版社	大连市	大学出版社	81103	曾用出版社编号81042
中南大学出版社	长沙市		81105	原名中南工业大学出版社
				曾用出版社编号81020、81061
郑州大学出版社	郑州市	大学出版社	81106	
中央民族大学出版社	北京市	大学出版社	81108	原名中央民族学院出版社
				曾用出版社编号81001、81056
安徽大学出版社	合肥市	大学出版社	81110	曾用出版社编号81052
东华大学出版社	上海市	大学出版社	81111	曾用出版社编号81005
云南大学出版社	昆明市	大学出版社	81112	曾用出版社编号81025、81068
电子科技大学出版社	成都市	大学出版社	81114	曾用出版社编号81016、81043、81065
内蒙古大学出版社	呼和浩特市	大学出版社	81115	曾用出版社编号81015、81074
北京大学医学出版社	北京市	大学出版社	81116	原名北京医科大学出版社
				曾用出版社编号81071
上海大学出版社	上海市	大学出版社	81118	曾用出版社编号81009、81058
首都师范大学出版社	北京市	大学出版社	81119	曾用出版社编号81014、81039、81064
汕头大学出版社	汕头市	大学出版社	81120	曾用出版社编号81036
上海中医药大学出版社	上海市	大学出版社／医学出版社	81121	曾用出版社编号80569
东北财经大学出版社	沈阳市	大学出版社	81122	曾用出版社编号81044、81084
中国海洋大学出版社	青岛市	大学出版社	81125	曾用出版社编号81026、81067
中国传媒大学出版社			81127	
湘潭大学出版社	湘潭市	大学出版社	81128	
黑龙江大学出版社	哈尔滨市	大学出版社	81129	
东北林业大学出版社	哈尔滨市	大学出版社	81131	曾用出版社编号81008
江西高校出版社	南昌市	教育出版社／大学出版社	81132	曾用出版社编号81033、81075
哈尔滨工程大学出版社	哈尔滨市	大学出版社	81133	曾用出版社编号81007
对外经济贸易大学出版社	北京市	大学出版社	81134	曾用出版社编号81000、81078
暨南大学出版社	广州市	大学出版社	81135	曾用出版社编号81029、81079
中国协和医科大学出版社	北京市		81136	
苏州大学出版社	苏州市	大学出版社	81137	曾用出版社编号81037、81090
西南财经大学出版社	成都市	大学出版社	81138	曾用出版社编号81017、81055、81088
中国人民公安大学出版社	北京市		81139	曾用出版社编号81011、81059、81087、81109
浙江工商大学出版社	杭州市	大学出版社	81140	
